frame_nmr,car_id,vehicle_type,car_bbox,license_plate_bbox,license_plate_bbox_score,license_number,license_number_score
2023-11-22 19:57:23.579884,465.0,bus,[59.91254409629647 -2.7405069638365376 889.5022349644953 702.0304831262576],[244.07872009277344 231.29942321777344 420.3301696777344 355.39703369140625],0.6128986477851868,PAE-61-527,0.7679041281862331
2023-11-22 19:57:24.238417,465.0,car,[112.7083400952597 -9.26811887706856 934.5948687588675 679.3735243979561],[300.4036560058594 353.64361572265625 454.4299621582031 475.42083740234375],0.5833155512809753,NSB-55-63,0.9826612505873723
2023-11-22 19:57:24.793146,465.0,car,[134.0259380874396 -9.026499820254458 950.5069670510605 668.4593330171739],[300.32696533203125 353.6873474121094 454.4551696777344 475.4409484863281],0.5831255912780762,NSB-55-63,0.9806449592576443
2023-11-22 19:57:25.423185,465.0,car,[142.80876187935115 -7.098010709467644 955.5843143765921 662.5106958786392],[300.2996520996094 353.6741027832031 454.4587097167969 475.4482116699219],0.5832098126411438,NSB-55-63,0.9824110211821192
2023-11-22 19:58:04.535935,475.0,car,[66.72302797279917 -3.218538362684967 803.9619783889689 556.8722863585708],[268.89605712890625 351.5256042480469 442.8122863769531 460.7514953613281],0.6701802015304565,PDH-Z0-76,0.6259182189821273
2023-11-22 19:58:05.152711,475.0,car,[57.438607411923726 -4.9015066866411985 821.4530816657065 564.4782012092026],[268.9175109863281 351.49835205078125 442.83306884765625 460.7718505859375],0.670158863067627,PDH-Z0-76,0.6283275917866213
2023-11-22 19:58:05.774415,475.0,car,[51.680542660014 -5.641558985423217 829.0770952329855 566.387135004499],[268.91143798828125 351.5041809082031 442.82061767578125 460.7698974609375],0.6700849533081055,PDH-Z0-76,0.6283275917866213
2023-11-22 19:58:06.418866,475.0,car,[83.65382552138021 4.613215144204389 811.0824846708322 572.5321353682227],[325.3712463378906 391.24786376953125 459.580078125 481.48187255859375],0.5931036472320557,NLR-15-687,0.729149079937346
2023-11-22 19:58:06.948391,475.0,car,[102.2316962044157 7.641042212727712 797.1263706298637 574.8818680307913],[325.3716735839844 391.2474060058594 459.55987548828125 481.4709777832031],0.5931739211082458,NLR-15-687,0.7046976350305761
2023-11-22 19:58:07.547105,475.0,car,[113.37680286497277 7.940215797429573 786.6999193010196 576.1060099947681],[325.3697204589844 391.2463073730469 459.57586669921875 481.4696960449219],0.5931774973869324,NLR-15-687,0.6510147834509376
2023-11-22 19:58:22.995275,-1,-1,[-1 -1 -1 -1],[352.78582763671875 252.30638122558594 469.1547546386719 328.91961669921875],0.589866578578949,KJB-664-A,0.8377445863858789
2023-11-22 19:58:23.638515,-1,-1,[-1 -1 -1 -1],[352.78765869140625 252.30615234375 469.14385986328125 328.9153747558594],0.590015172958374,KJB-664-A,0.8456527567985456
2023-11-22 19:58:24.259613,475.0,truck,[107.68531044876516 -31.157963823240834 777.8194236417798 480.7425020203435],[352.79931640625 252.30433654785156 469.1501159667969 328.9165344238281],0.5899696350097656,KJB-664-A,0.8537842330038576
2023-11-22 19:58:28.271870,486.0,car,[137.6535992695304 24.210090051134955 771.8026088370023 585.4940217110245],[345.5694580078125 484.3248596191406 466.1400146484375 567.2694091796875],0.581605851650238,PAZ-25-68,0.9998449424398572
2023-11-22 19:58:28.770075,486.0,car,[148.77788566781425 24.721596316237992 765.7359021343921 602.703453727104],[345.5660705566406 484.3053894042969 466.1617126464844 567.261962890625],0.5816699862480164,PAZ-25-68,0.9998449821793677
